Complexity,Loss,Equation
1,7430.686,"174.22534"
4,7101.762,"cos(x0) * 192.18404"
5,1851.7925,"(x2 * -1.0563035) + 1124.899"
7,1825.6981,"(sin(cos(x2)) * -215.99811) + 186.73367"
8,1459.2047,"cos(x0) * ((x2 * -1.1598848) + 1236.524)"
10,1420.6215,"(cos(x0) * ((x2 * -1.1451094) + 1294.0386)) + -64.84755"
11,1412.3052,"(sin(cos(x0)) * ((x2 * -1.2796926) + 1491.0138)) + -92.31769"
12,1344.0358,"((x2 * -1.7824962) + 1900.5886) * cos(inv(cos(x0)) * 0.8454784)"
14,843.4596,"(((22.538385 + x2) * -1.1023829) + (cos(x0 + -0.29852155) * 1221.5413)) + x0"
16,839.47186,"x1 + ((((x2 + 45.598763) * -1.0762098) + (cos(x0 + -0.30265504) * 1220.944)) + x0)"
